STATE,YEAR,POPULATION
Rhode Island,1957," 851,000 "
South Carolina,1957," 2,274,000 "
South Dakota,1957," 666,000 "
Tennessee,1957," 3,434,000 "
Texas,1957," 9,070,000 "
District of Columbia,1957," 763,000 "
Utah,1957," 826,000 "
Vermont,1957," 376,000 "
Virginia,1957," 3,844,000 "
Washington,1957," 2,724,000 "
West Virginia,1957," 1,843,000 "
Wisconsin,1957," 3,791,000 "
Wyoming,1957," 314,000 "
Alaska,1958," 224,000 "
Alabama,1958," 3,163,000 "
Arkansas,1958," 1,726,000 "
Arizona,1958," 1,193,000 "
California,1958," 14,880,000 "
Colorado,1958," 1,667,000 "
Connecticut,1958," 2,446,000 "
Delaware,1958," 433,000 "
Florida,1958," 4,630,000 "
Georgia,1958," 3,804,000 "
Hawaii,1958," 605,000 "
Idaho,1958," 646,000 "
Illinois,1958," 9,886,000 "
Indiana,1958," 4,583,000 "
Iowa,1958," 2,708,000 "
Kansas,1958," 2,142,000 "
Kentucky,1958," 2,961,000 "
Louisiana,1958," 3,155,000 "
Maine,1958," 944,000 "
Maryland,1958," 2,982,000 "
Massachusetts,1958," 5,010,000 "
Michigan,1958," 7,667,000 "
Minnesota,1958," 3,313,000 "
Mississippi,1958," 2,086,000 "
Missouri,1958," 4,186,000 "
Montana,1958," 666,000 "
Nebraska,1958," 1,383,000 "
Nevada,1958," 269,000 "
New Hampshire,1958," 269,000 "
New Jersey,1958," 5,890,000 "
New Mexico,1958," 5,890,000 "
New York,1958," 16,601,000 "
North Carolina,1958," 4,376,000 "
North Dakota,1958," 606,000 "
Ohio,1958," 9,599,000 "
Oklahoma,1958," 2,267,000 "
Oregon,1958," 1,718,000 "
Pennsylvania,1958," 11,058,000 "
Rhode Island,1958," 858,000 "
South Carolina,1958," 2,304,000 "
South Dakota,1958," 656,000 "
Tennessee,1958," 3,471,000 "
Texas,1958," 9,252,000 "
District of Columbia,1958," 757,000 "
Utah,1958," 845,000 "
Vermont,1958," 380,000 "
Virginia,1958," 3,914,000 "
Washington,1958," 2,773,000 "
West Virginia,1958," 1,845,000 "
Wisconsin,1958," 3,843,000 "
Wyoming,1958," 315,000 "
Alaska,1959," 224,000 "
Alabama,1959," 3,204,000 "
Arkansas,1959," 1,756,000 "
Arizona,1959," 1,261,000 "
California,1959," 15,467,000 "
Colorado,1959," 1,710,000 "
