STATE,YEAR,POPULATION
Minnesota,1982," 4,131,450 "
Mississippi,1982," 2,556,777 "
Missouri,1982," 4,929,451 "
Montana,1982," 803,986 "
Nebraska,1982," 1,581,780 "
Nevada,1982," 881,537 "
New Hampshire,1982," 881,537 "
New Jersey,1982," 7,430,968 "
New Mexico,1982," 7,430,968 "
New York,1982," 17,589,738 "
North Carolina,1982," 6,019,101 "
North Dakota,1982," 668,972 "
Ohio,1982," 10,757,087 "
Oklahoma,1982," 3,206,123 "
Oregon,1982," 2,664,922 "
Pennsylvania,1982," 11,845,146 "
Rhode Island,1982," 954,170 "
South Carolina,1982," 3,207,614 "
South Dakota,1982," 690,597 "
Tennessee,1982," 4,646,041 "
Texas,1982," 15,331,415 "
District of Columbia,1982," 634,174 "
Utah,1982," 1,558,314 "
Vermont,1982," 519,109 "
Virginia,1982," 5,492,783 "
Washington,1982," 4,276,552 "
West Virginia,1982," 1,949,604 "
Wisconsin,1982," 4,728,870 "
Wyoming,1982," 506,400 "
Alaska,1983," 488,417 "
Alabama,1983," 3,934,102 "
Arkansas,1983," 2,305,761 "
Arizona,1983," 2,968,925 "
California,1983," 25,360,026 "
Colorado,1983," 3,133,630 "
Connecticut,1983," 3,162,354 "
Delaware,1983," 605,458 "
Florida,1983," 10,749,851 "
Georgia,1983," 5,728,250 "
Hawaii,1983," 1,012,717 "
Idaho,1983," 981,869 "
Illinois,1983," 11,408,818 "
Indiana,1983," 5,450,395 "
Iowa,1983," 2,870,543 "
Kansas,1983," 2,415,531 "
Kentucky,1983," 3,694,484 "
Louisiana,1983," 4,395,316 "
Maine,1983," 1,144,772 "
Maryland,1983," 4,313,327 "
Massachusetts,1983," 5,799,407 "
Michigan,1983," 9,047,754 "
Minnesota,1983," 4,141,456 "
Mississippi,1983," 2,567,717 "
Missouri,1983," 4,943,733 "
Montana,1983," 814,031 "
Nebraska,1983," 1,584,293 "
Nevada,1983," 901,977 "
New Hampshire,1983," 901,977 "
New Jersey,1983," 7,467,785 "
New Mexico,1983," 7,467,785 "
New York,1983," 17,686,905 "
North Carolina,1983," 6,077,056 "
North Dakota,1983," 676,688 "
Ohio,1983," 10,737,632 "
Oklahoma,1983," 3,290,402 "
Oregon,1983," 2,653,066 "
Pennsylvania,1983," 11,837,723 "
Rhode Island,1983," 956,382 "
South Carolina,1983," 3,234,066 "
South Dakota,1983," 693,008 "
Tennessee,1983," 4,659,749 "
Texas,1983," 15,751,676 "
District of Columbia,1983," 632,433 "
Utah,1983," 1,594,943 "
Vermont,1983," 523,302 "
Virginia,1983," 5,564,657 "
Washington,1983," 4,300,266 "
West Virginia,1983," 1,945,061 "
Wisconsin,1983," 4,721,438 "
Wyoming,1983," 510,345 "
Alaska,1984," 513,702 "
Alabama,1984," 3,951,820 "
Arkansas,1984," 2,319,768 "
Arizona,1984," 3,067,135 "
California,1984," 25,844,393 "
Colorado,1984," 3,169,992 "
Connecticut,1984," 3,180,014 "
Delaware,1984," 611,565 "
Florida,1984," 11,039,925 "
Georgia,1984," 5,834,954 "
Hawaii,1984," 1,027,922 "
Idaho,1984," 990,839 "
Illinois,1984," 11,412,132 "
Indiana,1984," 5,458,322 "
Iowa,1984," 2,858,618 "
Kansas,1984," 2,424,086 "
Kentucky,1984," 3,695,453 "
Louisiana,1984," 4,400,477 "
Maine,1984," 1,155,635 "
Maryland,1984," 4,365,243 "
Massachusetts,1984," 5,840,773 "
Michigan,1984," 9,049,452 "
Minnesota,1984," 4,157,706 "
Mississippi,1984," 2,578,051 "
Missouri,1984," 4,975,278 "
Montana,1984," 820,905 "
Nebraska,1984," 1,588,639 "
Nevada,1984," 924,922 "
New Hampshire,1984," 924,922 "
New Jersey,1984," 7,515,473 "
New Mexico,1984," 7,515,473 "
New York,1984," 17,745,684 "
North Carolina,1984," 6,164,006 "
North Dakota,1984," 680,497 "
Ohio,1984," 10,737,746 "
Oklahoma,1984," 3,285,533 "
Oregon,1984," 2,666,588 "
Pennsylvania,1984," 11,815,172 "
Rhode Island,1984," 961,894 "
South Carolina,1984," 3,271,868 "
South Dakota,1984," 697,249 "
Tennessee,1984," 4,686,737 "
Texas,1984," 16,007,086 "
District of Columbia,1984," 633,382 "
Utah,1984," 1,622,342 "
Vermont,1984," 526,660 "
Virginia,1984," 5,643,870 "
Washington,1984," 4,343,656 "
West Virginia,1984," 1,927,697 "
Wisconsin,1984," 4,735,563 "
Wyoming,1984," 504,896 "
Alaska,1985," 532,495 "
Alabama,1985," 3,972,523 "
Arkansas,1985," 2,327,046 "
Arizona,1985," 3,183,538 "
California,1985," 26,441,109 "
Colorado,1985," 3,208,723 "
Connecticut,1985," 3,201,131 "
Delaware,1985," 618,280 "
Florida,1985," 11,351,118 "
Georgia,1985," 5,962,661 "
Hawaii,1985," 1,039,698 "
Idaho,1985," 994,051 "
Illinois,1985," 11,399,806 "
Indiana,1985," 5,459,211 "
Iowa,1985," 2,829,684 "
Kansas,1985," 2,427,405 "
Kentucky,1985," 3,694,826 "
Louisiana,1985," 4,408,118 "
Maine,1985," 1,162,936 "
Maryland,1985," 4,413,071 "
Massachusetts,1985," 5,880,733 "
Michigan,1985," 9,076,293 "
Minnesota,1985," 4,184,302 "
Mississippi,1985," 2,588,102 "
Missouri,1985," 5,000,268 "
Montana,1985," 822,320 "
Nebraska,1985," 1,584,664 "
Nevada,1985," 951,030 "
New Hampshire,1985," 951,030 "
New Jersey,1985," 7,565,528 "
New Mexico,1985," 7,565,528 "
New York,1985," 17,791,672 "
North Carolina,1985," 6,253,954 "
North Dakota,1985," 676,980 "
Ohio,1985," 10,734,926 "
Oklahoma,1985," 3,271,332 "
Oregon,1985," 2,672,652 "
Pennsylvania,1985," 11,770,862 "
Rhode Island,1985," 968,955 "
South Carolina,1985," 3,303,209 "
South Dakota,1985," 698,402 "
Tennessee,1985," 4,715,296 "
Texas,1985," 16,272,734 "
District of Columbia,1985," 634,549 "
Utah,1985," 1,642,910 "
Vermont,1985," 530,035 "
Virginia,1985," 5,715,153 "
Washington,1985," 4,400,098 "
West Virginia,1985," 1,906,831 "
Wisconsin,1985," 4,747,767 "
Wyoming,1985," 499,695 "
Alaska,1986," 544,268 "
Alabama,1986," 3,991,569 "
Arkansas,1986," 2,331,984 "
Arizona,1986," 3,308,262 "
California,1986," 27,102,237 "
Colorado,1986," 3,237,450 "
Connecticut,1986," 3,223,740 "
Delaware,1986," 627,559 "
Florida,1986," 11,667,505 "
Georgia,1986," 6,084,666 "
Hawaii,1986," 1,051,762 "
Idaho,1986," 990,224 "
Illinois,1986," 11,387,257 "
Indiana,1986," 5,454,108 "
Iowa,1986," 2,791,970 "
Kansas,1986," 2,432,619 "
Kentucky,1986," 3,687,809 "
Louisiana,1986," 4,406,919 "
Maine,1986," 1,170,126 "
Maryland,1986," 4,486,957 "
Massachusetts,1986," 5,902,678 "
Michigan,1986," 9,127,775 "
Minnesota,1986," 4,205,212 "
Mississippi,1986," 2,593,597 "
Missouri,1986," 5,023,068 "
Montana,1986," 813,739 "
Nebraska,1986," 1,574,333 "
Nevada,1986," 980,613 "
New Hampshire,1986," 980,613 "
New Jersey,1986," 7,622,159 "
New Mexico,1986," 7,622,159 "
New York,1986," 17,833,419 "
North Carolina,1986," 6,321,578 "
North Dakota,1986," 669,512 "
Ohio,1986," 10,730,268 "
Oklahoma,1986," 3,252,735 "
Oregon,1986," 2,683,528 "
Pennsylvania,1986," 11,782,752 "
Rhode Island,1986," 977,341 "
South Carolina,1986," 3,342,758 "
South Dakota,1986," 696,034 "
Tennessee,1986," 4,738,708 "
Texas,1986," 16,561,113 "
District of Columbia,1986," 638,269 "
Utah,1986," 1,662,834 "
Vermont,1986," 534,066 "
Virginia,1986," 5,811,700 "
Washington,1986," 4,452,720 "
West Virginia,1986," 1,882,350 "
Wisconsin,1986," 4,755,618 "
Wyoming,1986," 495,633 "
Alaska,1987," 539,309 "
Alabama,1987," 4,015,264 "
Arkansas,1987," 2,342,355 "
Arizona,1987," 3,437,103 "
California,1987," 27,777,158 "
Colorado,1987," 3,260,480 "
Connecticut,1987," 3,247,291 "
Delaware,1987," 636,947 "
Florida,1987," 11,997,283 "
Georgia,1987," 6,208,467 "
Hawaii,1987," 1,067,918 "
Idaho,1987," 984,997 "
Illinois,1987," 11,391,178 "
Indiana,1987," 5,473,012 "
Iowa,1987," 2,767,011 "
Kansas,1987," 2,445,367 "
Kentucky,1987," 3,683,329 "
Louisiana,1987," 4,344,148 "
Maine,1987," 1,184,574 "
Maryland,1987," 4,565,557 "
Massachusetts,1987," 5,935,204 "
Michigan,1987," 9,187,481 "
Minnesota,1987," 4,235,136 "
Mississippi,1987," 2,588,545 "
Missouri,1987," 5,056,696 "
Montana,1987," 805,063 "
Nebraska,1987," 1,566,547 "
Nevada,1987," 1,023,376 "
New Hampshire,1987," 1,023,376 "
New Jersey,1987," 7,670,742 "
New Mexico,1987," 7,670,742 "
New York,1987," 17,868,848 "
North Carolina,1987," 6,403,700 "
North Dakota,1987," 661,136 "
Ohio,1987," 10,760,090 "
Oklahoma,1987," 3,210,122 "
Oregon,1987," 2,700,991 "
Pennsylvania,1987," 11,810,866 "
Rhode Island,1987," 989,604 "
South Carolina,1987," 3,380,506 "
South Dakota,1987," 696,036 "
Tennessee,1987," 4,782,927 "
Texas,1987," 16,621,791 "
District of Columbia,1987," 636,930 "
Utah,1987," 1,678,119 "
Vermont,1987," 540,267 "
Virginia,1987," 5,932,268 "
Washington,1987," 4,531,901 "
West Virginia,1987," 1,857,585 "
Wisconsin,1987," 4,777,919 "
Wyoming,1987," 476,965 "
Alaska,1988," 541,983 "
Alabama,1988," 4,023,844 "
Arkansas,1988," 2,342,656 "
Arizona,1988," 3,535,183 "
California,1988," 28,464,249 "
Colorado,1988," 3,262,281 "
Connecticut,1988," 3,271,953 "
Delaware,1988," 647,622 "
Florida,1988," 12,306,395 "
Georgia,1988," 6,316,142 "
Hawaii,1988," 1,079,828 "
Idaho,1988," 985,664 "
Illinois,1988," 11,390,183 "
Indiana,1988," 5,491,735 "
Iowa,1988," 2,768,388 "
Kansas,1988," 2,461,996 "
Kentucky,1988," 3,679,999 "
Louisiana,1988," 4,288,863 "
Maine,1988," 1,203,840 "
Maryland,1988," 4,657,904 "
Massachusetts,1988," 5,979,982 "
Michigan,1988," 9,217,998 "
Minnesota,1988," 4,296,166 "
Mississippi,1988," 2,580,352 "
Missouri,1988," 5,081,736 "
Montana,1988," 800,202 "
Nebraska,1988," 1,571,477 "
Nevada,1988," 1,075,022 "
New Hampshire,1988," 1,075,022 "
New Jersey,1988," 7,712,333 "
New Mexico,1988," 7,712,333 "
New York,1988," 17,941,309 "
North Carolina,1988," 6,480,594 "
North Dakota,1988," 655,331 "
Ohio,1988," 10,798,552 "
Oklahoma,1988," 3,167,057 "
Oregon,1988," 2,741,297 "
Pennsylvania,1988," 11,845,752 "
Rhode Island,1988," 996,408 "
South Carolina,1988," 3,412,096 "
South Dakota,1988," 698,165 "
Tennessee,1988," 4,822,437 "
Texas,1988," 16,667,022 "
District of Columbia,1988," 630,432 "
Utah,1988," 1,689,372 "
Vermont,1988," 549,763 "
Virginia,1988," 6,036,909 "
Washington,1988," 4,639,893 "
West Virginia,1988," 1,830,215 "
Wisconsin,1988," 4,822,388 "
Wyoming,1988," 465,101 "
Alaska,1989," 547,159 "
Alabama,1989," 4,030,222 "
Arkansas,1989," 2,346,358 "
Arizona,1989," 3,622,185 "
California,1989," 29,218,164 "
Colorado,1989," 3,275,818 "
Connecticut,1989," 3,283,403 "
Delaware,1989," 658,273 "
Florida,1989," 12,637,715 "
Georgia,1989," 6,411,099 "
Hawaii,1989," 1,094,588 "
Idaho,1989," 994,416 "
Illinois,1989," 11,409,782 "
Indiana,1989," 5,523,693 "
Iowa,1989," 2,770,592 "
Kansas,1989," 2,472,849 "
Kentucky,1989," 3,677,306 "
Louisiana,1989," 4,252,894 "
Maine,1989," 1,219,961 "
Maryland,1989," 4,727,301 "
Massachusetts,1989," 6,015,478 "
Michigan,1989," 9,253,295 "
Minnesota,1989," 4,338,057 "
Mississippi,1989," 2,574,269 "
Missouri,1989," 5,095,830 "
Montana,1989," 799,636 "
Nebraska,1989," 1,574,864 "
Nevada,1989," 1,137,382 "
New Hampshire,1989," 1,137,382 "
New Jersey,1989," 7,726,089 "
New Mexico,1989," 7,726,089 "
New York,1989," 17,983,086 "
North Carolina,1989," 6,565,459 "
North Dakota,1989," 646,351 "
Ohio,1989," 10,829,217 "
Oklahoma,1989," 3,150,307 "
Oregon,1989," 2,790,575 "
Pennsylvania,1989," 11,865,996 "
Rhode Island,1989," 1,000,666 "
South Carolina,1989," 3,456,775 "
South Dakota,1989," 696,701 "
Tennessee,1989," 4,854,444 "
Texas,1989," 16,806,735 "
District of Columbia,1989," 624,168 "
Utah,1989," 1,705,864 "
Vermont,1989," 557,707 "
Virginia,1989," 6,120,246 "
Washington,1989," 4,746,316 "
West Virginia,1989," 1,806,568 "
Wisconsin,1989," 4,856,574 "
Wyoming,1989," 458,374 "
Alaska,1990," 553,120 "
Alabama,1990," 4,048,508 "
Arkansas,1990," 2,354,343 "
Arizona,1990," 3,679,056 "
California,1990," 29,950,111 "
Colorado,1990," 3,303,862 "
Connecticut,1990," 3,289,056 "
Delaware,1990," 669,063 "
Florida,1990," 13,018,365 "
Georgia,1990," 6,506,531 "
Hawaii,1990," 1,112,703 "
Idaho,1990," 1,011,882 "
Illinois,1990," 11,446,979 "
Indiana,1990," 5,555,097 "
Iowa,1990," 2,779,769 "
Kansas,1990," 2,480,683 "
Kentucky,1990," 3,692,584 "
Louisiana,1990," 4,219,179 "
Maine,1990," 1,231,296 "
Maryland,1990," 4,797,431 "
Massachusetts,1990," 6,018,664 "
Michigan,1990," 9,310,462 "
Minnesota,1990," 4,387,283 "
Mississippi,1990," 2,577,426 "
Missouri,1990," 5,126,370 "
Montana,1990," 799,824 "
Nebraska,1990," 1,580,664 "
Nevada,1990," 1,218,629 "
New Hampshire,1990," 1,218,629 "
New Jersey,1990," 7,757,158 "
New Mexico,1990," 7,757,158 "
New York,1990," 18,002,855 "
North Carolina,1990," 6,656,987 "
North Dakota,1990," 637,364 "
Ohio,1990," 10,861,837 "
Oklahoma,1990," 3,147,105 "
Oregon,1990," 2,858,547 "
Pennsylvania,1990," 11,895,604 "
Rhode Island,1990," 1,004,649 "
South Carolina,1990," 3,499,064 "
South Dakota,1990," 696,667 "
Tennessee,1990," 4,890,626 "
Texas,1990," 17,044,714 "
District of Columbia,1990," 603,814 "
Utah,1990," 1,729,722 "
Vermont,1990," 564,526 "
Virginia,1990," 6,213,526 "
Washington,1990," 4,900,780 "
West Virginia,1990," 1,792,481 "
Wisconsin,1990," 4,902,265 "
Wyoming,1990," 453,401 "
Alaska,1991," 569,273 "
Alabama,1991," 4,091,025 "
Arkansas,1991," 2,370,666 "
Arizona,1991," 3,762,394 "
California,1991," 30,414,114 "
Colorado,1991," 3,367,567 "
Connecticut,1991," 3,288,640 "
Delaware,1991," 680,495 "
Florida,1991," 13,289,497 "
Georgia,1991," 6,621,279 "
Hawaii,1991," 1,131,412 "
Idaho,1991," 1,038,915 "
Illinois,1991," 11,535,973 "
Indiana,1991," 5,602,062 "
Iowa,1991," 2,791,227 "
Kansas,1991," 2,495,209 "
Kentucky,1991," 3,714,686 "
Louisiana,1991," 4,240,950 "
Maine,1991," 1,235,439 "
Maryland,1991," 4,856,176 "
Massachusetts,1991," 5,998,652 "
Michigan,1991," 9,395,022 "
Minnesota,1991," 4,427,429 "
Mississippi,1991," 2,591,230 "
Missouri,1991," 5,157,770 "
Montana,1991," 807,837 "
Nebraska,1991," 1,590,805 "
Nevada,1991," 1,285,046 "
New Hampshire,1991," 1,285,046 "
New Jersey,1991," 7,784,269 "
New Mexico,1991," 7,784,269 "
New York,1991," 18,029,532 "
North Carolina,1991," 6,748,135 "
North Dakota,1991," 634,199 "
Ohio,1991," 10,933,683 "
Oklahoma,1991," 3,166,471 "
Oregon,1991," 2,918,745 "
Pennsylvania,1991," 11,943,160 "
Rhode Island,1991," 1,003,990 "
South Carolina,1991," 3,559,470 "
South Dakota,1991," 701,445 "
Tennessee,1991," 4,946,886 "
Texas,1991," 17,339,904 "
District of Columbia,1991," 593,239 "
Utah,1991," 1,771,941 "
Vermont,1991," 567,141 "
Virginia,1991," 6,283,853 "
Washington,1991," 5,013,443 "
West Virginia,1991," 1,798,212 "
Wisconsin,1991," 4,952,675 "
Wyoming,1991," 457,739 "
Alaska,1992," 587,073 "
Alabama,1992," 4,139,269 "
Arkansas,1992," 2,394,098 "
Arizona,1992," 3,867,333 "
California,1992," 30,875,920 "
Colorado,1992," 3,459,995 "
Connecticut,1992," 3,274,997 "
Delaware,1992," 690,158 "
Florida,1992," 13,504,775 "
Georgia,1992," 6,759,474 "
Hawaii,1992," 1,149,926 "
Idaho,1992," 1,066,490 "
Illinois,1992," 11,635,197 "
Indiana,1992," 5,648,649 "
Iowa,1992," 2,806,923 "
Kansas,1992," 2,526,042 "
Kentucky,1992," 3,756,358 "
Louisiana,1992," 4,270,849 "
Maine,1992," 1,235,748 "
Maryland,1992," 4,902,545 "
Massachusetts,1992," 5,993,474 "
Michigan,1992," 9,470,323 "
Minnesota,1992," 4,471,503 "
Mississippi,1992," 2,610,193 "
Missouri,1992," 5,193,686 "
Montana,1992," 822,436 "
Nebraska,1992," 1,602,406 "
Nevada,1992," 1,330,694 "
New Hampshire,1992," 1,330,694 "
New Jersey,1992," 7,827,770 "
New Mexico,1992," 7,827,770 "
New York,1992," 18,082,032 "
North Carolina,1992," 6,831,850 "
North Dakota,1992," 635,427 "
Ohio,1992," 11,007,609 "
Oklahoma,1992," 3,204,174 "
Oregon,1992," 2,973,934 "
Pennsylvania,1992," 11,980,819 "
Rhode Island,1992," 1,000,571 "
South Carolina,1992," 3,600,576 "
South Dakota,1992," 708,698 "
Tennessee,1992," 5,013,999 "
Texas,1992," 17,650,479 "
District of Columbia,1992," 584,183 "
Utah,1992," 1,821,498 "
Vermont,1992," 570,115 "
Virginia,1992," 6,383,315 "
Washington,1992," 5,139,011 "
West Virginia,1992," 1,805,462 "
Wisconsin,1992," 5,004,636 "
Wyoming,1992," 463,491 "
Alaska,1993," 596,993 "
Alabama,1993," 4,193,114 "
Arkansas,1993," 2,423,743 "
Arizona,1993," 3,993,390 "
California,1993," 31,147,208 "
Colorado,1993," 3,560,884 "
Connecticut,1993," 3,272,325 "
Delaware,1993," 699,475 "
Florida,1993," 13,713,593 "
Georgia,1993," 6,894,092 "
Hawaii,1993," 1,161,508 "
Idaho,1993," 1,101,204 "
Illinois,1993," 11,725,984 "
Indiana,1993," 5,701,965 "
Iowa,1993," 2,820,525 "
Kansas,1993," 2,547,605 "
Kentucky,1993," 3,792,288 "
Louisiana,1993," 4,284,749 "
Maine,1993," 1,238,256 "
Maryland,1993," 4,942,504 "
Massachusetts,1993," 6,010,884 "
Michigan,1993," 9,529,240 "
Minnesota,1993," 4,521,709 "
Mississippi,1993," 2,635,574 "
Missouri,1993," 5,237,757 "
Montana,1993," 839,876 "
Nebraska,1993," 1,612,149 "
Nevada,1993," 1,380,197 "
New Hampshire,1993," 1,380,197 "
New Jersey,1993," 7,874,891 "
New Mexico,1993," 7,874,891 "
New York,1993," 18,140,894 "
North Carolina,1993," 6,947,412 "
North Dakota,1993," 637,229 "
Ohio,1993," 11,070,385 "
Oklahoma,1993," 3,228,829 "
Oregon,1993," 3,034,490 "
Pennsylvania,1993," 12,022,128 "
Rhode Island,1993," 997,852 "
South Carolina,1993," 3,634,507 "
South Dakota,1993," 716,258 "
Tennessee,1993," 5,085,666 "
Texas,1993," 17,996,764 "
District of Columbia,1993," 576,358 "
Utah,1993," 1,875,993 "
Vermont,1993," 574,004 "
Virginia,1993," 6,464,795 "
Washington,1993," 5,247,704 "
West Virginia,1993," 1,816,179 "
Wisconsin,1993," 5,055,318 "
Wyoming,1993," 469,033 "
Alaska,1994," 600,624 "
Alabama,1994," 4,232,965 "
Arkansas,1994," 2,450,605 "
Arizona,1994," 4,147,561 "
California,1994," 31,317,179 "
Colorado,1994," 3,653,910 "
Connecticut,1994," 3,268,346 "
Delaware,1994," 708,416 "
Florida,1994," 13,961,798 "
Georgia,1994," 7,045,900 "
Hawaii,1994," 1,173,903 "
Idaho,1994," 1,135,459 "
Illinois,1994," 11,804,986 "
Indiana,1994," 5,745,626 "
Iowa,1994," 2,829,422 "
Kansas,1994," 2,569,118 "
Kentucky,1994," 3,823,215 "
Louisiana,1994," 4,306,500 "
Maine,1994," 1,237,687 "
Maryland,1994," 4,985,411 "
Massachusetts,1994," 6,031,352 "
Michigan,1994," 9,584,481 "
Minnesota,1994," 4,566,028 "
Mississippi,1994," 2,663,450 "
Missouri,1994," 5,281,206 "
Montana,1994," 854,923 "
Nebraska,1994," 1,621,551 "
Nevada,1994," 1,456,388 "
New Hampshire,1994," 1,456,388 "
New Jersey,1994," 7,918,796 "
New Mexico,1994," 7,918,796 "
New York,1994," 18,156,652 "
North Carolina,1994," 7,060,959 "
North Dakota,1994," 639,762 "
Ohio,1994," 11,111,451 "
Oklahoma,1994," 3,246,119 "
Oregon,1994," 3,087,142 "
Pennsylvania,1994," 12,042,545 "
Rhode Island,1994," 993,412 "
South Carolina,1994," 3,666,456 "
South Dakota,1994," 723,038 "
Tennessee,1994," 5,163,016 "
Texas,1994," 18,338,319 "
District of Columbia,1994," 564,982 "
Utah,1994," 1,930,436 "
Vermont,1994," 578,900 "
Virginia,1994," 6,536,771 "
Washington,1994," 5,334,896 "
West Virginia,1994," 1,818,490 "
Wisconsin,1994," 5,095,504 "
Wyoming,1994," 474,982 "
Alaska,1995," 601,345 "
Alabama,1995," 4,262,731 "
Arkansas,1995," 2,480,121 "
Arizona,1995," 4,306,908 "
California,1995," 31,493,525 "
Colorado,1995," 3,738,061 "
Connecticut,1995," 3,265,293 "
Delaware,1995," 718,265 "
Florida,1995," 14,185,403 "
Georgia,1995," 7,188,538 "
Hawaii,1995," 1,180,490 "
Idaho,1995," 1,165,000 "
Illinois,1995," 11,884,935 "
Indiana,1995," 5,791,819 "
Iowa,1995," 2,840,860 "
Kansas,1995," 2,586,942 "
Kentucky,1995," 3,855,248 "
Louisiana,1995," 4,327,978 "
Maine,1995," 1,237,438 "
Maryland,1995," 5,023,650 "
Massachusetts,1995," 6,062,335 "
Michigan,1995," 9,659,871 "
Minnesota,1995," 4,605,445 "
Mississippi,1995," 2,690,788 "
Missouri,1995," 5,324,610 "
Montana,1995," 868,522 "
Nebraska,1995," 1,635,142 "
Nevada,1995," 1,525,777 "
New Hampshire,1995," 1,525,777 "
New Jersey,1995," 7,965,523 "
New Mexico,1995," 7,965,523 "
New York,1995," 18,150,928 "
North Carolina,1995," 7,185,403 "
North Dakota,1995," 641,548 "
Ohio,1995," 11,155,493 "
Oklahoma,1995," 3,265,547 "
Oregon,1995," 3,141,421 "
Pennsylvania,1995," 12,044,780 "
Rhode Island,1995," 989,203 "
South Carolina,1995," 3,699,943 "
South Dakota,1995," 728,251 "
Tennessee,1995," 5,241,168 "
Texas,1995," 18,679,706 "
District of Columbia,1995," 551,273 "
Utah,1995," 1,976,774 "
Vermont,1995," 582,827 "
Virginia,1995," 6,601,392 "
Washington,1995," 5,431,024 "
West Virginia,1995," 1,820,560 "
Wisconsin,1995," 5,137,004 "
Wyoming,1995," 478,447 "
Alaska,1996," 604,918 "
Alabama,1996," 4,290,403 "
Arkansas,1996," 2,504,858 "
Arizona,1996," 4,432,308 "
California,1996," 31,780,829 "
Colorado,1996," 3,812,716 "
Connecticut,1996," 3,267,030 "
Delaware,1996," 727,090 "
Florida,1996," 14,426,911 "
Georgia,1996," 7,332,225 "
Hawaii,1996," 1,184,434 "
Idaho,1996," 1,187,706 "
Illinois,1996," 11,953,003 "
Indiana,1996," 5,834,908 "
Iowa,1996," 2,848,473 "
Kansas,1996," 2,598,266 "
Kentucky,1996," 3,881,051 "
Louisiana,1996," 4,338,763 "
Maine,1996," 1,241,436 "
Maryland,1996," 5,057,142 "
Massachusetts,1996," 6,085,393 "
Michigan,1996," 9,739,184 "
Minnesota,1996," 4,647,723 "
Mississippi,1996," 2,709,925 "
Missouri,1996," 5,367,888 "
Montana,1996," 876,656 "
Nebraska,1996," 1,647,657 "
Nevada,1996," 1,596,476 "
New Hampshire,1996," 1,596,476 "
New Jersey,1996," 8,009,624 "
New Mexico,1996," 8,009,624 "
New York,1996," 18,143,805 "
North Carolina,1996," 7,307,658 "
North Dakota,1996," 642,858 "
Ohio,1996," 11,187,032 "
Oklahoma,1996," 3,289,634 "
Oregon,1996," 3,195,087 "
Pennsylvania,1996," 12,038,008 "
Rhode Island,1996," 987,858 "
South Carolina,1996," 3,738,974 "
South Dakota,1996," 730,699 "
Tennessee,1996," 5,313,576 "
Texas,1996," 19,006,240 "
District of Columbia,1996," 538,273 "
Utah,1996," 2,022,253 "
Vermont,1996," 586,352 "
Virginia,1996," 6,665,491 "
Washington,1996," 5,509,963 "
West Virginia,1996," 1,818,983 "
Wisconsin,1996," 5,173,828 "
Wyoming,1996," 480,085 "
Alaska,1997," 608,846 "
Alabama,1997," 4,320,281 "
Arkansas,1997," 2,524,007 "
Arizona,1997," 4,552,207 "
California,1997," 32,217,708 "
Colorado,1997," 3,891,293 "
Connecticut,1997," 3,268,514 "
Delaware,1997," 735,024 "
Florida,1997," 14,683,350 "
Georgia,1997," 7,486,094 "
Hawaii,1997," 1,189,322 "
Idaho,1997," 1,210,638 "
Illinois,1997," 12,011,509 "
Indiana,1997," 5,872,370 "
Iowa,1997," 2,854,396 "
Kansas,1997," 2,616,339 "
Kentucky,1997," 3,907,816 "
Louisiana,1997," 4,351,390 "
Maine,1997," 1,245,215 "
Maryland,1997," 5,092,914 "
Massachusetts,1997," 6,115,476 "
Michigan,1997," 9,785,450 "
Minnesota,1997," 4,687,726 "
Mississippi,1997," 2,731,826 "
Missouri,1997," 5,407,113 "
Montana,1997," 878,706 "
Nebraska,1997," 1,656,042 "
Nevada,1997," 1,675,581 "
New Hampshire,1997," 1,675,581 "
New Jersey,1997," 8,054,178 "
New Mexico,1997," 8,054,178 "
New York,1997," 18,143,184 "
North Carolina,1997," 7,428,672 "
North Dakota,1997," 640,945 "
Ohio,1997," 11,212,498 "
Oklahoma,1997," 3,314,259 "
Oregon,1997," 3,243,254 "
Pennsylvania,1997," 12,015,888 "
Rhode Island,1997," 986,966 "
South Carolina,1997," 3,790,066 "
South Dakota,1997," 730,855 "
Tennessee,1997," 5,378,433 "
Texas,1997," 19,355,427 "
District of Columbia,1997," 528,752 "
Utah,1997," 2,065,397 "
Vermont,1997," 588,665 "
Virginia,1997," 6,732,878 "
Washington,1997," 5,604,105 "
West Virginia,1997," 1,815,588 "
Wisconsin,1997," 5,200,235 "
Wyoming,1997," 480,031 "
Alaska,1998," 615,205 "
Alabama,1998," 4,351,037 "
Arkansas,1998," 2,538,202 "
Arizona,1998," 4,667,277 "
California,1998," 32,682,794 "
Colorado,1998," 3,968,967 "
Connecticut,1998," 3,272,563 "
Delaware,1998," 744,066 "
Florida,1998," 14,908,230 "
Georgia,1998," 7,636,522 "
Hawaii,1998," 1,190,472 "
Idaho,1998," 1,230,923 "
Illinois,1998," 12,069,774 "
Indiana,1998," 5,907,617 "
Iowa,1998," 2,861,025 "
Kansas,1998," 2,638,667 "
Kentucky,1998," 3,934,310 "
Louisiana,1998," 4,362,758 "
Maine,1998," 1,247,554 "
Maryland,1998," 5,130,072 "
Massachusetts,1998," 6,144,407 "
Michigan,1998," 9,820,231 "
Minnesota,1998," 4,726,411 "
Mississippi,1998," 2,751,335 "
Missouri,1998," 5,437,562 "
Montana,1998," 879,533 "
Nebraska,1998," 1,660,772 "
